> Miller, K.G. et al, 2024. Global mean and relative sea-level changes over the past 66 Myr: implications for early Eocene ice sheets. Earth Science, Systems and Society, 4(1), p.10091.
> Age (Ma)	sea level (m)
0	-0.830002428
0.0013098	1.027190546
0.0028395	11.6032018
0.0035732	4.121803779
0.0043069	14.08191732
0.0054457	5.974160826
0.0061272	6.591253803
0.0067696	12.81488073
0.0077136	-4.011778888
0.0088999	-4.021906652
0.009477	-1.535189001
0.010025	-2.162771665
0.010545	2.193310096
0.010979	0.943902224
0.011496	2.185453134
0.011879	-22.1112451
0.012261	-12.14782306
0.012595	-23.3629828
0.012916	4.665365903
0.013238	-30.22031753
0.01354	-25.23952357
0.013842	-23.37328525
0.014132	-24.62150342
0.014434	-55.14664372
0.014726	-37.7075446
0.015018	-47.05361897
0.015305	-41.44971046
0.015592	-58.89351367
0.015879	-76.960228
0.016163	-71.35629554
0.016542	-83.81754433
0.016825	-88.18018193
0.017108	-88.80535275
0.01739	-83.20140432
0.017671	-80.71200355
0.017952	-107.4994258
0.018231	-106.2558313
0.018497	-98.78302169
0.018764	-93.17895349
0.019026	-103.1476235
0.019259	-101.9036618
0.019525	-93.80794106
0.019769	-92.5640671
0.020003	-85.71391231
0.020237	-101.2884939
0.020466	-102.5360811
0.020836	-91.32653237
0.021125	-90.70584856
0.021337	-98.18241597
0.02155	-100.0527909
0.021756	-86.97324491
0.021961	-96.94140288
0.022166	-93.20551605
0.022367	-93.82997628
0.022568	-86.97950298
0.022768	-86.98104438
0.022967	-91.34295596
0.023166	-91.34448965
0.023365	-92.59184559
0.023565	-89.47883135
0.023765	-89.48037275
0.023966	-101.3172333
0.02417	-91.35222746
0.024374	-91.97671082
0.024582	-90.10958049
0.024794	-85.75083648
0.024998	-91.35860885
0.025223	-96.96648112
0.025445	-88.24737462
0.025667	-80.15117925
0.025899	-88.87365861
0.026135	-97.59616769
0.026371	-88.87716519
0.026622	-83.27282978
0.026875	-78.91433148
0.027129	-82.03077413
0.027402	-82.03280231
0.027676	-85.77230467
0.027954	-78.92234759
0.028251	-83.90784309
0.028548	-77.05802716
0.02885	-70.20824838
0.029167	-65.85022555
0.029484	-64.60675835
0.029808	-74.57574345
0.03014	-71.46361555
0.030473	-73.33473066
0.030814	-70.84552509
0.03116	-53.40648823
0.031506	-66.49009661
0.03186	-64.00098403
0.032217	-68.3639153
0.032574	-66.4977353
0.03294	-72.1065532
0.033294	-70.86326287
0.033673	-70.24306247
0.034047	-64.6395373
0.034446	-69.00276897
0.034797	-71.49692395
0.035178	-77.72871129
0.035559	-65.89602008
0.035942	-77.11105434
0.036329	-64.03258215
0.037106	-65.90665912
0.037498	-62.79479934
0.03789	-62.17458408
0.038285	-57.19401156
0.038682	-68.4091421
0.039079	-62.18276107
0.039478	-72.15208312
0.039879	-70.90901862
0.040279	-75.89498243
0.041087	-60.95045179
0.041491	-64.69058677
0.041899	-64.6932814
0.042306	-67.81052506
0.042713	-70.30485759
0.043534	-68.44154649
0.046012	-64.09726169
0.046428	-64.72280815
0.046845	-72.82329446
0.04768	-52.89542804
0.048098	-49.78352039
0.048517	-54.14655261
0.048937	-47.920102
0.049357	-65.36427423
0.050199	-65.36955535
0.050621	-61.63464978
0.051043	-62.2601221
0.051466	-63.50851161
0.051889	-65.37981226
0.052313	-69.74276348
0.052737	-67.2536923
0.053162	-66.01044944
0.053587	-59.78391757
0.054154	-59.78735879
0.054296	-57.91948723
0.054367	-35.49511756
0.054793	-44.21845881
0.05522	-52.31883749
0.055646	-51.07548935
0.056074	-56.68417522
0.056501	-40.49096582
0.056929	-61.67242988
0.057357	-60.42909335
0.057786	-59.18576262
0.058214	-75.38393766
0.058643	-74.76351806
0.059072	-69.15980945
0.0595	-63.55609503
0.05993	-74.77099266
0.060359	-70.41301413
0.060788	-64.80919537
0.061217	-72.28651029
0.062076	-71.04545637
0.062936	-74.78769702
0.063366	-69.80679494
0.063797	-67.31754292
0.064228	-72.92613556
0.06466	-69.81397797
0.065092	-66.70179722
0.065524	-67.94990882
0.065957	-72.93549247
0.066391	-69.20032565
0.066826	-61.10478623
0.067773	-71.0763828
0.068211	-68.58705942
0.068658	-61.73740585
0.069104	-59.871036
0.069553	-57.38177092
0.070023	-59.87590049
0.070493	-61.12409782
0.071189	-62.99634834
0.071774	-52.40981539
0.072359	-43.0691047
0.073046	-44.31839861
0.073767	-48.05950885
0.074488	-55.53808585
0.075248	-53.05022237
0.076014	-43.08733133
0.07678	-45.58266285
0.077569	-42.47190492
0.078358	-39.98405812
0.079149	-35.00457643
0.079952	-33.76261927
0.080755	-34.38921903
0.081561	-31.27835453
0.082373	-28.16751752
0.083186	-33.77744087
0.084001	-33.78117323
0.084819	-42.50567511
0.085638	-39.3947252
0.086461	-49.98779637
0.087288	-51.86012917
0.088115	-54.3553731
0.088953	-58.71939829
0.089795	-46.26484045
0.090636	-53.74329414
0.0915	-52.5010419
